epoch,accuracy,loss,val_accuracy,val_loss
0,0.6608100533485413,0.7589503526687622,0.6726072430610657,0.9956880807876587
1,0.6721933484077454,0.7500314712524414,0.6726072430610657,0.9220530986785889
2,0.6727707386016846,0.7506323456764221,0.6726072430610657,0.88072270154953
3,0.6698011755943298,0.7478277087211609,0.6726072430610657,0.8869555592536926
4,0.6726058125495911,0.7452739477157593,0.6726072430610657,0.8885877728462219
5,0.6726058125495911,0.7447252869606018,0.6726072430610657,0.8824973702430725
6,0.6726058125495911,0.7429614663124084,0.6726072430610657,0.8661350607872009
7,0.6726058125495911,0.7443416714668274,0.6726072430610657,0.9226288795471191
8,0.6723583340644836,0.7434651851654053,0.6726072430610657,0.8554201722145081
9,0.6693062782287598,0.73701012134552,0.6726072430610657,0.861918032169342
10,0.6723583340644836,0.7294670343399048,0.6726072430610657,0.7079599499702454
11,0.6749154329299927,0.6868208646774292,0.6957095861434937,0.591277539730072
12,0.6809370517730713,0.6581568717956543,0.7188118696212769,0.5491727590560913
13,0.6942176222801208,0.6294862627983093,0.7438943982124329,0.5310099720954895
14,0.6975170969963074,0.6160512566566467,0.7603960633277893,0.4933197796344757
15,0.7018064856529236,0.602489709854126,0.7841584086418152,0.4693929851055145
16,0.71393221616745,0.5927869081497192,0.7986798882484436,0.44983595609664917
17,0.7148395776748657,0.5830113291740417,0.7993399500846863,0.43473386764526367
18,0.7219335436820984,0.5699993371963501,0.8264026641845703,0.40740522742271423
19,0.7239956855773926,0.5684771537780762,0.8336633443832397,0.38502606749534607
20,0.7271302342414856,0.5636886954307556,0.8336633443832397,0.39169302582740784
21,0.7342242002487183,0.5575520396232605,0.8554455637931824,0.36148715019226074
22,0.7290274500846863,0.558873176574707,0.8613861203193665,0.33832481503486633
23,0.7372762560844421,0.5466831922531128,0.8580858111381531,0.34274744987487793
24,0.7374412417411804,0.5478991270065308,0.867986798286438,0.33381888270378113
25,0.7475872039794922,0.5299692749977112,0.8594059348106384,0.33607542514801025
26,0.743462860584259,0.5345815420150757,0.8739274144172668,0.3113844692707062
27,0.7504743337631226,0.5324010252952576,0.871947169303894,0.31277453899383545
28,0.7458549737930298,0.5328616499900818,0.8693069219589233,0.3224608898162842
29,0.7513816952705383,0.5272671580314636,0.8752475380897522,0.292900949716568
30,0.7515466213226318,0.5263392329216003,0.8825082778930664,0.27840542793273926
31,0.7483296394348145,0.5284567475318909,0.8838284015655518,0.2808977961540222
32,0.7479171752929688,0.5204075574874878,0.8811880946159363,0.2770255506038666
33,0.7508867383003235,0.5190234184265137,0.8831683397293091,0.2779568135738373
34,0.7529489398002625,0.5195582509040833,0.881848156452179,0.27098309993743896
